RunningID,Ra,Dec,X,Y,Flux1,dFlux1,Flux2,dFlux2,Flux3,dFlux3,Class,Mag1,dMag1,Mag2,dMag2,Mag3,dMag3,StarID
207.0,6665.24,14.1335,37273.0,189.741,58025.7,282.669,71284.4,403.485,4.70662,-0.529774,1.0,13.9073,0.00552705,13.7668,0.00528912,13.7114,0.00614551,67
229.0,4929.55,9.66834,20286.7,183.824,29877.0,273.51,36058.1,394.748,4.70372,-0.528355,-1.0,14.5678,0.00983822,14.4875,0.00993945,14.4514,0.0118862,68
231.0,4936.7,14.3604,12952.2,180.152,19409.5,269.763,23762.1,391.61,4.70374,-0.528354,-1.0,15.0549,0.0151015,14.9558,0.0150902,14.9042,0.0178935,69
212.0,3269.97,14.9402,25233.4,185.187,34962.8,274.415,42198.4,395.884,4.70097,-0.526982,-1.0,14.3309,0.00796821,14.3168,0.00852171,14.2807,0.0101859,70
226.0,4431.39,16.2109,16211.5,182.884,22861.9,271.225,26902.3,392.392,4.7029,-0.527936,-1.0,14.8113,0.0122484,14.778,0.0128808,14.7695,0.0158364,71
106.0,4425.72,10.5545,13317.9,181.469,18886.0,269.822,22066.0,391.165,4.70289,-0.52794,-1.0,15.0247,0.0147942,14.9855,0.0155119,14.9846,0.0192469,72
296.0,3465.5,18.7857,4586.88,184.009,6521.77,270.083,7563.93,388.284,4.7013,-0.527137,-1.0,16.182,0.043556,16.1399,0.0449631,16.1471,0.055735,73
246.0,9856.91,16.6106,25840.3,203.603,33469.4,286.89,38218.4,402.35,4.71194,-0.532381,-1.0,14.3051,0.00855485,14.3642,0.00930664,14.3882,0.0114303,74
264.0,5856.17,18.2922,5135.54,176.531,7114.96,265.663,8175.86,387.756,4.70527,-0.529104,-1.0,16.0593,0.0373216,16.0454,0.04054,16.0626,0.0514933,75
261.0,4875.97,16.2127,13464.5,181.662,22922.6,271.334,32655.0,393.895,4.70364,-0.528302,1.0,15.0128,0.0146487,14.7752,0.0128519,14.5591,0.0130965,76
262.0,3679.6,10.0485,173002.0,246.53,251929.0,342.203,299277.0,456.545,4.70165,-0.527326,-1.0,12.2407,0.00154719,12.1726,0.00147479,12.1537,0.00165629,77
249.0,9790.44,17.392,16725.6,198.315,22773.2,282.515,27256.4,399.141,4.71183,-0.532326,-1.0,14.7773,0.0128736,14.7822,0.0134692,14.7553,0.0158995,78
269.0,6457.23,14.6809,9126.54,176.094,13244.2,267.038,16120.0,389.611,4.70627,-0.529602,1.0,15.435,0.020949,15.3707,0.0218914,15.3255,0.0262417,79
248.0,10823.6,16.505,15250.1,198.83,21889.9,282.568,25384.0,397.956,4.71356,-0.53317,-1.0,14.8776,0.0141558,14.8252,0.0140154,14.8325,0.0170216,80
242.0,6384.88,15.7129,72299.1,205.471,100984.0,296.91,118948.0,415.131,4.70615,-0.529542,-1.0,13.188,0.00308563,13.1652,0.00319225,13.1555,0.00378924,81
314.0,4646.45,16.4778,20672.7,185.109,29990.3,273.752,35739.9,394.624,4.70326,-0.528113,-1.0,14.5473,0.00972201,14.4834,0.00991067,14.461,0.0119882,82
256.0,5993.38,17.3221,33413.6,187.93,47263.7,278.998,55326.3,399.531,4.7055,-0.529218,-1.0,14.026,0.00610659,13.9895,0.00640914,13.9866,0.00784052,83
284.0,4417.98,14.6738,6122.69,177.83,8397.72,266.047,9597.7,387.971,4.70288,-0.527927,-1.0,15.8685,0.0315346,15.8654,0.0343971,15.8885,0.0438892,84
285.0,4414.38,18.8574,4155.17,176.827,5679.54,265.062,6464.46,387.165,4.70288,-0.527918,1.0,16.2893,0.0462047,16.29,0.0506711,16.3176,0.0650264,85
277.0,10043.7,17.5319,21684.0,201.579,31036.1,286.034,35374.8,401.63,4.71225,-0.532532,-1.0,14.4955,0.0100933,14.4461,0.0100064,14.4722,0.012327,86
225.0,5474.84,15.512,66066.3,205.441,92944.2,295.22,110177.0,413.245,4.70464,-0.528795,-1.0,13.2859,0.00337624,13.2553,0.00344866,13.2387,0.00407234,87
299.0,3472.74,19.6031,5349.91,182.236,7510.66,269.065,8696.21,388.298,4.70131,-0.527142,-1.0,16.0149,0.0369839,15.9866,0.038896,15.9956,0.0484799,88
305.0,5560.19,19.2748,7641.93,178.69,10373.8,267.192,11981.7,388.892,4.70478,-0.52886,-1.0,15.6278,0.0253877,15.636,0.0279647,15.6476,0.03524,89
288.0,6507.21,18.5359,9833.45,176.467,13853.3,267.286,16249.3,389.689,4.70636,-0.529638,-1.0,15.354,0.0194842,15.3219,0.0209483,15.3168,0.026038,90
257.0,9751.01,17.8636,17952.2,198.921,22840.5,282.538,24839.1,398.525,4.71177,-0.532293,-1.0,14.7005,0.0120306,14.779,0.0134306,14.8561,0.0174199,91
343.0,6241.95,18.4806,7612.89,175.33,10840.9,266.175,12833.2,388.772,4.70592,-0.52942,-1.0,15.6319,0.0250053,15.5881,0.0266581,15.5731,0.0328916,92
358.0,3599.58,17.7403,17806.7,190.704,25128.5,276.762,29198.1,393.761,4.70152,-0.527249,-1.0,14.7093,0.0116279,14.6754,0.0119582,14.6805,0.0146421,93
287.0,8816.31,18.3899,34065.1,201.57,44355.5,287.034,52948.2,404.476,4.71021,-0.531529,-1.0,14.005,0.00642453,14.0584,0.00702607,14.0343,0.00829406,94
335.0,6088.73,19.309,9249.36,176.158,13103.0,266.995,15315.0,389.417,4.70566,-0.529293,-1.0,15.4205,0.0206783,15.3824,0.0221237,15.3811,0.0276073,95
271.0,6496.05,15.3842,151755.0,237.295,205801.0,329.028,239794.0,443.196,4.70634,-0.529633,-1.0,12.3829,0.00169774,12.3922,0.00173585,12.3943,0.0020067,96
267.0,10888.7,15.3081,40743.1,211.17,47675.7,291.66,55565.8,405.66,4.71366,-0.533225,0.0,13.8107,0.00562734,13.9801,0.00664212,13.9819,0.00792648,97
326.0,4745.77,17.9428,11285.8,180.532,16020.1,268.834,19936.9,390.628,4.70343,-0.528192,1.0,15.2045,0.0173679,15.1641,0.0182198,15.0948,0.0212731,98
327.0,5408.49,18.8779,15091.8,181.738,21586.2,270.938,26277.3,392.426,4.70453,-0.528736,-1.0,14.889,0.0130747,14.8404,0.0136276,14.795,0.0162145,99
286.0,6594.3,17.8264,34728.0,188.561,47559.9,279.119,55448.1,399.59,4.7065,-0.52971,-1.0,13.9841,0.00589517,13.9827,0.00637197,13.9842,0.00782444,100
350.0,6441.49,21.4686,3743.51,173.361,5529.69,264.254,6291.79,387.09,4.70625,-0.52958,-1.0,16.4026,0.0502804,16.3191,0.0518856,16.347,0.066798,101
342.0,8969.04,20.7102,17463.6,193.871,23876.4,280.179,27780.3,398.424,4.71046,-0.53165,-1.0,14.7305,0.0120532,14.7309,0.0127407,14.7346,0.0155716,102
378.0,5063.72,21.6125,4001.88,176.181,5941.13,265.326,7420.56,387.599,4.70396,-0.528448,1.0,16.3301,0.0477991,16.2411,0.0484884,16.1678,0.0567116,103
398.0,2761.6,21.149,6104.96,191.968,8743.82,275.476,10564.2,390.516,4.70013,-0.526554,-1.0,15.8716,0.0341407,15.8216,0.0342064,15.7843,0.0401354,104
429.0,3775.5,21.4112,3720.12,186.172,5880.74,273.431,7517.97,393.201,4.70182,-0.527389,-2.0,16.4094,0.0543354,16.2522,0.0504825,16.1537,0.0567858,105
180.0,3693.73,14.7069,7404.79,177.044,10409.9,266.381,12465.9,389.028,4.70168,-0.527331,-1.0,15.662,0.0259594,15.6322,0.0277833,15.6046,0.0338831,106
393.0,3690.46,21.519,6315.89,185.279,9026.02,271.47,10401.8,389.623,4.70168,-0.527319,-1.0,15.8347,0.0318506,15.7871,0.0326552,15.8012,0.0406689,107
352.0,3177.07,16.2017,5269.68,175.299,7157.8,264.53,9156.87,387.48,4.70082,-0.526903,1.0,16.0313,0.0361179,16.0389,0.0401255,15.9396,0.045944,108
321.0,3626.66,18.2218,25126.0,194.199,41735.5,282.539,56014.8,400.527,4.70157,-0.527271,-1.0,14.3355,0.00839171,14.1245,0.00735018,13.9732,0.00776345,109
320.0,3618.15,14.8185,18893.4,182.117,26160.8,271.343,31433.6,393.194,4.70155,-0.527269,-1.0,14.645,0.0104657,14.6317,0.0112615,14.6004,0.0135812,110
322.0,3633.29,16.4001,16497.9,188.061,23379.7,274.886,27831.0,393.19,4.70158,-0.527279,-1.0,14.7922,0.0123764,14.7537,0.0127656,14.7326,0.0153391,111
372.0,1847.31,21.486,5421.83,192.452,7579.05,275.646,8543.98,391.178,4.69862,-0.525799,-1.0,16.0004,0.0385392,15.9768,0.0394878,16.0148,0.0497096,112
383.0,5296.92,18.005,13418.0,180.949,18477.1,269.865,22052.4,391.39,4.70434,-0.528645,-1.0,15.0166,0.0146418,15.0092,0.0158576,14.9853,0.0192699,113
303.0,6581.36,17.9462,24687.7,183.779,40985.6,276.851,55503.9,399.604,4.70648,-0.5297,-1.0,14.3546,0.0080824,14.1442,0.00733398,13.9831,0.00781685,114
135.0,5874.08,12.2017,11349.0,179.722,15918.2,268.85,19321.3,390.615,4.7053,-0.529127,-1.0,15.1984,0.0171937,15.1711,0.0183375,15.1288,0.0219502,115
174.0,5883.22,14.5152,12150.5,180.117,17580.8,269.441,21232.4,391.102,4.70531,-0.529132,-1.0,15.1243,0.0160949,15.0632,0.01664,15.0264,0.0199993,116
370.0,5874.55,20.5759,14151.7,181.255,20837.4,270.65,25063.9,392.089,4.70531,-0.529116,-1.0,14.9588,0.0139062,14.8787,0.0141023,14.8463,0.0169849,117
397.0,2671.25,20.5026,32727.8,204.585,41373.1,286.408,47193.3,399.007,4.69998,-0.52648,-1.0,14.0485,0.00678706,14.134,0.00751609,14.1592,0.00917965,118
